site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
Byewater Point,BYEW,48.1,-61.502,-62.753,chinstrap penguin,4,2,1987,1986,700,3,adults,offshore vessel,"</sub>author [1] ""W. D. Shuford""  ""Larry B. Spear""  </sub>journal [1] ""British Antarctic Survey Bulletin""  </sub>pages [1] ""19--30""  </sub>title [1] ""{Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica}""  </sub>volume [1] ""81""  </sub>year [1] ""1988""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""shuford1988surveys"" attr( ""dateobj"") [1] ""1988-01-01 CST"""
Byewater Point,BYEW,48.1,-61.502,-62.753,chinstrap penguin,9,1,2013,2012,400,5,nests,vhr,"</sub>author [1] ""Noah Strycker""      ""Michael Wethington"" ""Alex Borowicz""      ""Steve Forrest""      ""Chandi Witharana""   ""Tom Hart""           [7] ""Heather J. Lynch""    </sub>doi [1] ""10.1038/s41598-020-76479-3""  </sub>journal [1] ""Scientific Reports""  </sub>number [1] ""1""  </sub>pages [1] ""1--11""  </sub>title [1] ""{A global population assessment of the chinstrap penguin .\emph{Pygoscelis antarctica}})""  </sub>volume [1] ""10""  </sub>year [1] ""2020""  </sub>`bdsk-url-1` [1] ""https://doi.org/10.1038/s41598-020-76479-3""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""strycker2020a-global"" attr( ""dateobj"") [1] ""2020-01-01 CST"""
Carlota Cove,CARL,48.1,-59.709,-62.373,chinstrap penguin,,,1975,1975,1,1,nests,ground,"</sub>address [1] ""Cambridge  United Kingdom""  </sub>author [1] ""J. P. Croxall""  ""E. D. Kirkwood""  </sub>isbn [1] ""0856650714""  </sub>publisher [1] ""British Antarctic Survey""  </sub>title [1] ""{The distribution of penguins on the Antarctic Peninsula and islands of the Scotia Sea}""  </sub>year [1] ""1979""  attr( ""bibtype"") [1] ""Book"" attr( ""key"") [1] ""croxall1979distribution"" attr( ""dateobj"") [1] ""1979-01-01 CST"""
Carlota Cove,CARL,48.1,-59.709,-62.373,chinstrap penguin,24,1,2010,2009,0,5,nests,vhr,"</sub>author [1] ""Noah Strycker""      ""Michael Wethington"" ""Alex Borowicz""      ""Steve Forrest""      ""Chandi Witharana""   ""Tom Hart""           [7] ""Heather J. Lynch""    </sub>doi [1] ""10.1038/s41598-020-76479-3""  </sub>journal [1] ""Scientific Reports""  </sub>number [1] ""1""  </sub>pages [1] ""1--11""  </sub>title [1] ""{A global population assessment of the chinstrap penguin .\emph{Pygoscelis antarctica}})""  </sub>volume [1] ""10""  </sub>year [1] ""2020""  </sub>`bdsk-url-1` [1] ""https://doi.org/10.1038/s41598-020-76479-3""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""strycker2020a-global"" attr( ""dateobj"") [1] ""2020-01-01 CST"""
Caroline Bluff,CARO,48.1,-57.659,-61.911,chinstrap penguin,31,1,1987,1986,5500,4,nests,offshore vessel,"</sub>author [1] ""W. D. Shuford""  ""Larry B. Spear""  </sub>journal [1] ""British Antarctic Survey Bulletin""  </sub>pages [1] ""19--30""  </sub>title [1] ""{Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica}""  </sub>volume [1] ""81""  </sub>year [1] ""1988""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""shuford1988surveys"" attr( ""dateobj"") [1] ""1988-01-01 CST"""
Caroline Bluff,CARO,48.1,-57.659,-61.911,chinstrap penguin,19,1,2020,2019,4000,5,nests,vhr,"</sub>author [1] ""Noah Strycker""      ""Michael Wethington"" ""Alex Borowicz""      ""Steve Forrest""      ""Chandi Witharana""   ""Tom Hart""           [7] ""Heather J. Lynch""    </sub>doi [1] ""10.1038/s41598-020-76479-3""  </sub>journal [1] ""Scientific Reports""  </sub>number [1] ""1""  </sub>pages [1] ""1--11""  </sub>title [1] ""{A global population assessment of the chinstrap penguin .\emph{Pygoscelis antarctica}})""  </sub>volume [1] ""10""  </sub>year [1] ""2020""  </sub>`bdsk-url-1` [1] ""https://doi.org/10.1038/s41598-020-76479-3""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""strycker2020a-global"" attr( ""dateobj"") [1] ""2020-01-01 CST"""
Castle Rock,CAST,48.1,-61.581,-62.789,chinstrap penguin,4,2,1987,1986,5000,4,adults,offshore vessel,"</sub>author [1] ""W. D. Shuford""  ""Larry B. Spear""  </sub>journal [1] ""British Antarctic Survey Bulletin""  </sub>pages [1] ""19--30""  </sub>title [1] ""{Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica}""  </sub>volume [1] ""81""  </sub>year [1] ""1988""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""shuford1988surveys"" attr( ""dateobj"") [1] ""1988-01-01 CST"""
Castle Rock,CAST,48.1,-61.581,-62.789,chinstrap penguin,9,1,2013,2012,2000,5,nests,vhr,"</sub>author [1] ""Noah Strycker""      ""Michael Wethington"" ""Alex Borowicz""      ""Steve Forrest""      ""Chandi Witharana""   ""Tom Hart""           [7] ""Heather J. Lynch""    </sub>doi [1] ""10.1038/s41598-020-76479-3""  </sub>journal [1] ""Scientific Reports""  </sub>number [1] ""1""  </sub>pages [1] ""1--11""  </sub>title [1] ""{A global population assessment of the chinstrap penguin .\emph{Pygoscelis antarctica}})""  </sub>volume [1] ""10""  </sub>year [1] ""2020""  </sub>`bdsk-url-1` [1] ""https://doi.org/10.1038/s41598-020-76479-3""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""strycker2020a-global"" attr( ""dateobj"") [1] ""2020-01-01 CST"""
Casy Island,CASY,48.1,-57.505,-63.236,chinstrap penguin,6,1,1970,1969,30,3,nests,ground,"</sub>address [1] ""Cambridge  United Kingdom""  </sub>author [1] ""J. P. Croxall""  ""E. D. Kirkwood""  </sub>isbn [1] ""0856650714""  </sub>publisher [1] ""British Antarctic Survey""  </sub>title [1] ""{The distribution of penguins on the Antarctic Peninsula and islands of the Scotia Sea}""  </sub>year [1] ""1979""  attr( ""bibtype"") [1] ""Book"" attr( ""key"") [1] ""croxall1979distribution"" attr( ""dateobj"") [1] ""1979-01-01 CST"""
Catharina Point,CATH,48.1,-59.62,-62.329,chinstrap penguin,28,1,1989,1988,2316,3,nests,landsat,"</sub>author [1] ""Heather J. Lynch""    ""Mathew R. Schwaller""  </sub>doi [1] ""10.1371/journal.pone.0113301""  </sub>journal [1] ""PLOS One""  </sub>number [1] ""11""  </sub>pages [1] ""e113301""  </sub>title [1] ""{Mapping the abundance and distribution of Ad&eacute;lie penguins using Landsat-7: First steps towards an integrated multi-sensor pipeline for tracking populations at the continental scale}""  </sub>volume [1] ""9""  </sub>year [1] ""2014""  </sub>`bdsk-url-1` [1] ""https://doi.org/10.1371/journal.pone.0113301""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2014mapping"" attr( ""dateobj"") [1] ""2014-01-01 CST"""
Cape Barne,CBAR,88.1,166.242,-77.578,adelie penguin,,,1988,1988,5,1,nests,,"</sub>address [1] ""Cambridge  United Kingdom""  </sub>author [1] ""Eric J. Woehler""  </sub>publisher [1] ""Scientific Committee on Antarctic Research (SCAR)""  </sub>title [1] ""{The distribution and abundance of Antarctic and Subantarctic penguins}""  </sub>year [1] ""1993""  attr( ""bibtype"") [1] ""Book"" attr( ""key"") [1] ""woehler1993distribution"" attr( ""dateobj"") [1] ""1993-01-01 CST"""
Cape Barne,CBAR,88.1,166.242,-77.578,adelie penguin,,,1989,1989,4,1,nests,,"</sub>address [1] ""Cambridge  United Kingdom""  </sub>author [1] ""Eric J. Woehler""  </sub>publisher [1] ""Scientific Committee on Antarctic Research (SCAR)""  </sub>title [1] ""{The distribution and abundance of Antarctic and Subantarctic penguins}""  </sub>year [1] ""1993""  attr( ""bibtype"") [1] ""Book"" attr( ""key"") [1] ""woehler1993distribution"" attr( ""dateobj"") [1] ""1993-01-01 CST"""
Cape Barne,CBAR,88.1,166.242,-77.578,adelie penguin,20,1,2011,2010,0,1,nests,vhr,"</sub>author [1] ""Heather J. Lynch""  ""Michelle A. LaRue""  </sub>doi [1] ""10.1642/AUK-14-31.1""  </sub>journal [1] ""The Auk""  </sub>number [1] ""4""  </sub>pages [1] ""457--466""  </sub>title [1] ""{First global census of the Ad&eacute;lie Penguin}""  </sub>volume [1] ""131""  </sub>year [1] ""2014""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1642/AUK-14-31.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2014global"" attr( ""dateobj"") [1] ""2014-01-01 CST"""
Casey Bay,CBAY,58.4.2,48.657,-67.377,adelie penguin,7,2,2011,2010,95,5,nests,vhr,"</sub>author [1] ""Heather J. Lynch""  ""Michelle A. LaRue""  </sub>doi [1] ""10.1642/AUK-14-31.1""  </sub>journal [1] ""The Auk""  </sub>number [1] ""4""  </sub>pages [1] ""457--466""  </sub>title [1] ""{First global census of the Ad&eacute;lie Penguin}""  </sub>volume [1] ""131""  </sub>year [1] ""2014""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1642/AUK-14-31.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2014global"" attr( ""dateobj"") [1] ""2014-01-01 CST"""
"Cape Colbeck, Edward VII Peninsula",CBEK,88.2,-157.7,-77.14,emperor penguin,,,2008,2008,13820,1,adults,aerial,"</sub>author [1] ""Gerald L. Kooyman"" ""P. J. Ponganis""     </sub>doi [1] ""10.1017/S0954102016000559""  </sub>journal [1] ""Antarctic Science""  </sub>pages [1] ""1--8""  </sub>title [1] ""{Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012}""  </sub>volume [1] ""28""  </sub>year [1] ""2016""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org//10.1017/S0954102016000559""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""kooyman2016emperor"" attr( ""dateobj"") [1] ""2016-01-01 CST"""
"Cape Colbeck, Edward VII Peninsula",CBEK,88.2,-157.7,-77.14,emperor penguin,13,10,2009,2009,11438,2,adults,vhr,"</sub>author  [1] ""Peter T. Fretwell"" ""Michelle A. LaRue"" ""Paul Morin""        ""Gerald L. Kooyman"" ""Barbara Wienecke""  ""Norman Ratcliffe""   [7] ""Adrian J. Fox""     ""Andrew H. Fleming"" ""Claire Porter""     ""Philip N. Trathan""  </sub>doi [1] ""10.1371/journal.pone.0033751""  </sub>journal [1] ""PLOS One""  </sub>number [1] ""4""  </sub>pages [1] ""e33751""  </sub>title [1] ""{An emperor penguin population estimate: The first global  synoptic survey of a species from space}""  </sub>volume [1] ""7""  </sub>year [1] ""2012""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1371/journal.pone.0033751""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""fretwell2012emperor"" attr( ""dateobj"") [1] ""2012-01-01 CST"""
"Cape Colbeck, Edward VII Peninsula",CBEK,88.2,-157.7,-77.14,emperor penguin,,,2011,2011,10493,1,chicks,aerial,"</sub>author [1] ""Gerald L. Kooyman"" ""P. J. Ponganis""     </sub>doi [1] ""10.1017/S0954102016000559""  </sub>journal [1] ""Antarctic Science""  </sub>pages [1] ""1--8""  </sub>title [1] ""{Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012}""  </sub>volume [1] ""28""  </sub>year [1] ""2016""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org//10.1017/S0954102016000559""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""kooyman2016emperor"" attr( ""dateobj"") [1] ""2016-01-01 CST"""
"Cape Colbeck, Edward VII Peninsula",CBEK,88.2,-157.7,-77.14,emperor penguin,,,2011,2011,26266,1,adults,aerial,"</sub>author [1] ""Gerald L. Kooyman"" ""P. J. Ponganis""     </sub>doi [1] ""10.1017/S0954102016000559""  </sub>journal [1] ""Antarctic Science""  </sub>pages [1] ""1--8""  </sub>title [1] ""{Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012}""  </sub>volume [1] ""28""  </sub>year [1] ""2016""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org//10.1017/S0954102016000559""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""kooyman2016emperor"" attr( ""dateobj"") [1] ""2016-01-01 CST"""
"Cape Colbeck, Edward VII Peninsula",CBEK,88.2,-157.7,-77.14,emperor penguin,,,2012,2012,17125,1,chicks,aerial,"</sub>author [1] ""Gerald L. Kooyman"" ""P. J. Ponganis""     </sub>doi [1] ""10.1017/S0954102016000559""  </sub>journal [1] ""Antarctic Science""  </sub>pages [1] ""1--8""  </sub>title [1] ""{Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012}""  </sub>volume [1] ""28""  </sub>year [1] ""2016""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org//10.1017/S0954102016000559""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""kooyman2016emperor"" attr( ""dateobj"") [1] ""2016-01-01 CST"""
"Cape Colbeck, Edward VII Peninsula",CBEK,88.2,-157.7,-77.14,emperor penguin,,,2012,2012,21385,1,adults,aerial,"</sub>author [1] ""Gerald L. Kooyman"" ""P. J. Ponganis""     </sub>doi [1] ""10.1017/S0954102016000559""  </sub>journal [1] ""Antarctic Science""  </sub>pages [1] ""1--8""  </sub>title [1] ""{Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012}""  </sub>volume [1] ""28""  </sub>year [1] ""2016""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org//10.1017/S0954102016000559""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""kooyman2016emperor"" attr( ""dateobj"") [1] ""2016-01-01 CST"""
Casey Bay West,CBYW,58.4.2,46.957,-67.312,emperor penguin,,,2019,2019,1000,5,nests,sentinel,"</sub>author [1] ""Peter T. Fretwell"" ""Philip N. Trathan""  </sub>doi [1] ""10.1002/rse2.176""  </sub>journal [1] ""Remote Sensing in Ecology and Conservation""  </sub>number [1] ""2""  </sub>pages [1] ""139--153""  </sub>title [1] ""{Discovery of new colonies by Sentinel2 reveals good and bad news for emperor penguins}""  </sub>volume [1] ""7""  </sub>year [1] ""2020""  </sub>`bdsk-url-1` [1] ""https://doi.org/10.1002/rse2.176""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""fretwell2020discovery"" attr( ""dateobj"") [1] ""2020-01-01 CST"""
Chinstrap Camp,CCMP,48.1,-54.756,-61.156,chinstrap penguin,18,1,1971,1970,24480,3,nests,ground,"</sub>address [1] ""Cambridge  United Kingdom""  </sub>author [1] ""J. P. Croxall""  ""E. D. Kirkwood""  </sub>isbn [1] ""0856650714""  </sub>publisher [1] ""British Antarctic Survey""  </sub>title [1] ""{The distribution of penguins on the Antarctic Peninsula and islands of the Scotia Sea}""  </sub>year [1] ""1979""  attr( ""bibtype"") [1] ""Book"" attr( ""key"") [1] ""croxall1979distribution"" attr( ""dateobj"") [1] ""1979-01-01 CST"""
Chinstrap Camp,CCMP,48.1,-54.756,-61.156,chinstrap penguin,27,12,2015,2015,10759,1,nests,ground,"</sub>author [1] ""Heather J. Lynch""  </sub>field [1] ""Dataset""  </sub>title [1] ""{Stony Brook University Lynch Lab: Censuses of penguins and other seabirds dataset}""  </sub>year [1] ""2022""  attr( ""bibtype"") [1] ""Unpublished"" attr( ""key"") [1] ""lynchunpublished"" attr( ""dateobj"") [1] ""2022-01-01 CST"""
Chinstrap Camp,CCMP,48.1,-54.756,-61.156,chinstrap penguin,10,1,2020,2019,7346,1,nests,ground,"</sub>author [1] ""Noah Strycker""      ""Alex Borowicz""      ""Michael Wethington"" ""Steve Forrest""      ""Vikrant Shah""       ""Yang Liu""           [7] ""Hanumant Singh""     ""Heather J. Lynch""    </sub>doi [1] ""10.1007/s00300-020-02774-4""  </sub>journal [1] ""Polar Biology""  </sub>pages [1] ""45--56""  </sub>title [1] ""{Fifty-year change in penguin abundance on Elephant Island  South Shetland Islands  Antarctica: Results of the 2019--20 census}""  </sub>volume [1] ""44""  </sub>year [1] ""2020""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1007/s00300-020-02774-4""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""strycker2020fifty-year"" attr( ""dateobj"") [1] ""2020-01-01 CST"""
Chinstrap Camp,CCMP,48.1,-54.756,-61.156,macaroni penguin,27,12,2015,2015,196,1,nests,ground,"</sub>author [1] ""Heather J. Lynch""  </sub>field [1] ""Dataset""  </sub>title [1] ""{Stony Brook University Lynch Lab: Censuses of penguins and other seabirds dataset}""  </sub>year [1] ""2022""  attr( ""bibtype"") [1] ""Unpublished"" attr( ""key"") [1] ""lynchunpublished"" attr( ""dateobj"") [1] ""2022-01-01 CST"""
Chinstrap Camp,CCMP,48.1,-54.756,-61.156,macaroni penguin,10,1,2020,2019,116,1,nests,ground,"</sub>author [1] ""Noah Strycker""      ""Alex Borowicz""      ""Michael Wethington"" ""Steve Forrest""      ""Vikrant Shah""       ""Yang Liu""           [7] ""Hanumant Singh""     ""Heather J. Lynch""    </sub>doi [1] ""10.1007/s00300-020-02774-4""  </sub>journal [1] ""Polar Biology""  </sub>pages [1] ""45--56""  </sub>title [1] ""{Fifty-year change in penguin abundance on Elephant Island  South Shetland Islands  Antarctica: Results of the 2019--20 census}""  </sub>volume [1] ""44""  </sub>year [1] ""2020""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1007/s00300-020-02774-4""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""strycker2020fifty-year"" attr( ""dateobj"") [1] ""2020-01-01 CST"""
Cape Conway (east),CCOE,48.1,-61.392,-62.834,chinstrap penguin,8,2,1987,1986,2500,3,adults,offshore vessel,"</sub>author [1] ""W. D. Shuford""  ""Larry B. Spear""  </sub>journal [1] ""British Antarctic Survey Bulletin""  </sub>pages [1] ""19--30""  </sub>title [1] ""{Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica}""  </sub>volume [1] ""81""  </sub>year [1] ""1988""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""shuford1988surveys"" attr( ""dateobj"") [1] ""1988-01-01 CST"""
Cape Conway (east),CCOE,48.1,-61.392,-62.834,chinstrap penguin,31,1,2020,2019,929,1,chicks,ground,"</sub>author [1] ""Noah Strycker""      ""Michael Wethington"" ""Alex Borowicz""      ""Steve Forrest""      ""Chandi Witharana""   ""Tom Hart""           [7] ""Heather J. Lynch""    </sub>doi [1] ""10.1038/s41598-020-76479-3""  </sub>journal [1] ""Scientific Reports""  </sub>number [1] ""1""  </sub>pages [1] ""1--11""  </sub>title [1] ""{A global population assessment of the chinstrap penguin .\emph{Pygoscelis antarctica}})""  </sub>volume [1] ""10""  </sub>year [1] ""2020""  </sub>`bdsk-url-1` [1] ""https://doi.org/10.1038/s41598-020-76479-3""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""strycker2020a-global"" attr( ""dateobj"") [1] ""2020-01-01 CST"""
Cape Conway (east),CCOE,48.1,-61.392,-62.834,gentoo penguin,8,2,1987,1986,250,3,adults,offshore vessel,"</sub>address [1] ""La Jolla  United States""  </sub>author [1] ""W. D. Shuford""  ""Larry B. Spear""  </sub>institution [1] ""Antarctic Ecosystem Research Division  National Oceanic .&amp;} Atmospheric Administration""  </sub>title [1] ""{Surveys of breeding penguins and other seabirds in the South Shetland Islands  Antarctica  January-February 1987}""  </sub>type [1] ""{NOAA Technical Memorandum NMFS-F/NEC-59}""  </sub>year [1] ""1988""  attr( ""bibtype"") [1] ""TechReport"" attr( ""key"") [1] ""shuford1988surveysreport"" attr( ""dateobj"") [1] ""1988-01-01 CST"""
Cape Conway (east),CCOE,48.1,-61.392,-62.834,gentoo penguin,31,1,2020,2019,5898,3,chicks,ground,"</sub>author [1] ""Heather J. Lynch""  </sub>field [1] ""Dataset""  </sub>title [1] ""{Stony Brook University Lynch Lab: Censuses of penguins and other seabirds dataset}""  </sub>year [1] ""2022""  attr( ""bibtype"") [1] ""Unpublished"" attr( ""key"") [1] ""lynchunpublished"" attr( ""dateobj"") [1] ""2022-01-01 CST"""
Cape Davis,CDAV,88.1,163.226,-66.716,adelie penguin,,12,1984,1984,540,2,nests,aerial,"</sub>author [1] ""Dean Anderson""   ""Fiona Shanhun""   ""Rebecca Macneil""  </sub>doi [1] ""10.7931/kf06-x745""  </sub>field [1] ""Dataset""  </sub>note [1] ""{Dataset downloaded on 04/01/22 from https://doi.org/10.7931/kf06-x745}""  </sub>title [1] ""{Aerial survey data of Ad&eacute;lie penguin breeding pairs across 39 colonies from Ross Island to Cape Adare. Count data were collected from 1981 - 2019}""  </sub>year [1] ""2021""  </sub>`bdsk-url-1` [1] ""https://doi.org/10.7931/kf06-x745""  attr( ""bibtype"") [1] ""Unpublished"" attr( ""key"") [1] ""manaakiwhenua2021aerial"" attr( ""dateobj"") [1] ""2021-01-01 CST"""
Cape Davis,CDAV,88.1,163.226,-66.716,adelie penguin,23,12,2000,2000,200,3,nests,aerial photo,"</sub>author [1] ""John A. Macdonald"" ""Kerry J. Barton""   ""Peter Metcalf""      </sub>doi [1] ""10.1007/s00300-002-0363-1""  </sub>journal [1] ""Polar Biology""  </sub>number [1] ""6""  </sub>pages [1] ""442--447""  </sub>title [1] ""{Chinstrap penguins .\emph{Pygoscelis antarctica}) nesting on Sabrina Islet  Balleny Islands  Antarctica}""  </sub>volume [1] ""25""  </sub>year [1] ""2002""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1007/s00300-002-0363-1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""macdonald2002chinstrap"" attr( ""dateobj"") [1] ""2002-01-01 CST"""
Cape Davis,CDAV,88.1,163.226,-66.716,adelie penguin,,12,2005,2005,559,2,nests,aerial,"</sub>author [1] ""Dean Anderson""   ""Fiona Shanhun""   ""Rebecca Macneil""  </sub>doi [1] ""10.7931/kf06-x745""  </sub>field [1] ""Dataset""  </sub>note [1] ""{Dataset downloaded on 04/01/22 from https://doi.org/10.7931/kf06-x745}""  </sub>title [1] ""{Aerial survey data of Ad&eacute;lie penguin breeding pairs across 39 colonies from Ross Island to Cape Adare. Count data were collected from 1981 - 2019}""  </sub>year [1] ""2021""  </sub>`bdsk-url-1` [1] ""https://doi.org/10.7931/kf06-x745""  attr( ""bibtype"") [1] ""Unpublished"" attr( ""key"") [1] ""manaakiwhenua2021aerial"" attr( ""dateobj"") [1] ""2021-01-01 CST"""
Cecilia Island,CECI,48.1,-59.728,-62.413,chinstrap penguin,11,1,2006,2005,14,1,nests,ground,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
Cecilia Island,CECI,48.1,-59.728,-62.413,chinstrap penguin,7,12,2010,2010,0,1,nests,offshore vessel,"</sub>author [1] ""Heather J. Lynch""  </sub>field [1] ""Dataset""  </sub>title [1] ""{Antarctic Site Inventory (ASI): Censuses of penguins and other seabirds dataset}""  </sub>year [1] ""2022""  attr( ""bibtype"") [1] ""Unpublished"" attr( ""key"") [1] ""lynchantarctic"" attr( ""dateobj"") [1] ""2022-01-01 CST"""
"Chabrier Rock, Vaureal Peak",CHAB,48.1,-58.296,-62.187,chinstrap penguin,,,1979,1979,2039,1,nests,ground,"</sub>author [1] ""Boles&lstrok;aw Jab&lstrok;oński""  </sub>journal [1] ""Polish Polar Research""  </sub>number [1] ""1--2""  </sub>pages [1] ""5--16""  </sub>title [1] ""{Distribution  number and breeding preferences of penguins in the region of the Admiralty Bay (King George Islands  South Shetland Islands in the season 1979/80*)}""  </sub>volume [1] ""5""  </sub>year [1] ""1984""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""jablonski1984distributionadmirality"" attr( ""dateobj"") [1] ""1984-01-01 CST"""
"Chabrier Rock, Vaureal Peak",CHAB,48.1,-58.296,-62.187,chinstrap penguin,,,1980,1980,1724,1,nests,ground,"</sub>author [1] ""Boles&lstrok;aw Jab&lstrok;oński""  </sub>journal [1] ""Polish Polar Research""  </sub>number [1] ""1--2""  </sub>pages [1] ""17--30""  </sub>title [1] ""{Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981*)}""  </sub>volume [1] ""5""  </sub>year [1] ""1984""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""jablonski1984distributionking"" attr( ""dateobj"") [1] ""1984-01-01 CST"""
"Chabrier Rock, Vaureal Peak",CHAB,48.1,-58.296,-62.187,chinstrap penguin,12,2,1987,1986,2500,3,adults,offshore vessel,"</sub>author [1] ""W. D. Shuford""  ""Larry B. Spear""  </sub>journal [1] ""British Antarctic Survey Bulletin""  </sub>pages [1] ""19--30""  </sub>title [1] ""{Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica}""  </sub>volume [1] ""81""  </sub>year [1] ""1988""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""shuford1988surveys"" attr( ""dateobj"") [1] ""1988-01-01 CST"""
"Chabrier Rock, Vaureal Peak",CHAB,48.1,-58.296,-62.187,chinstrap penguin,,,2004,2004,833,1,nests,ground,"</sub>author [1] ""Martin Sander""            ""Tatiana Coelho Balb&atilde;o""    ""Erli Schneider Costa""     ""Cesar Rodrigo Dos Santos"" [5] ""Maria Virg&iacute;nia Petry""      </sub>doi [1] ""10.1007/s00300-006-0218-2""  </sub>journal [1] ""Polar Biology""  </sub>number [1] ""5""  </sub>pages [1] ""651--654""  </sub>title [1] ""{Decline of the breeding population of.\emph{Pygoscelis antarctica} and.\emph{Pygoscelis adeliae} on Penguin Island  South Shetland  Antarctica}""  </sub>volume [1] ""30""  </sub>year [1] ""2007""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1007/s00300-006-0218-2""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""sander2007decline"" attr( ""dateobj"") [1] ""2007-01-01 CST"""
Cape Hallett,CHAL,88.1,170.214,-72.318,adelie penguin,,,1961,1961,1200,3,nests,ground,"</sub>author [1] ""Eric J. Woehler"" ""D. J. Slip""      ""L. M. Robertson"" ""P. J. Fullagar""  ""H. R. Burton""     </sub>journal [1] ""Marine Ornithology""  </sub>number [1] ""1""  </sub>pages [1] ""1--18""  </sub>title [1] ""{The distribution  abundance and status of Ad&eacute;lie penguins.\emph{Pygoscelis adeliae} at the Windmill Islands  Wilkes Land  Antarctica}""  </sub>volume [1] ""19""  </sub>year [1] ""1991""  </sub>`bdsk-url-1` [1] ""http://marineornithology.org/PDF/19/MO_1991_01.pdf""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""woehler1991distribution"" attr( ""dateobj"") [1] ""1991-01-01 CST"""
